review,sentiment,cleaned_reviews,Cluster
फांसी चढ़ने से पहले वह पाकिस्तान के सदर से खास इजाजत लेकर मीडिया से मुखातिब होती है,neutral,फस चढन स पहल वह पकसतन क सदर स खस इजजत लकर मडय स मखतब हत ह,2
"राज कुमार हिरानी ने इस मूवी में भी अपने डायरेक्शन का जलवा दिखा दिया। उन्होंने साबित कर दिया कि उनके पिटारे से हर बार कुछ अलग और नया निकलता है। कहानी पर हिरानी की शुरू से आखिर तक पकड़ है। आमिर के रहते शरमन , माधवन , बोमन से हिरानी ने बेहतरीन काम लिया और हर एक की मौजूदगी को फिल्म का अहम हिस्सा बनाया। एक पल भी कहानी की गति को उन्होंने सुस्त नहीं पड़ने दिया।",neutral,रज कमर हरन न इस मव म भ अपन डयरकशन क जलव दख दय उनहन सबत कर दय क उनक पटर स हर बर कछ अलग और नय नकलत ह कहन पर हरन क शर स आखर तक पकड ह आमर क रहत शरमन  मधवन  बमन स हरन न बहतरन कम लय और हर एक क मजदग क फलम क अहम हसस बनय एक पल भ कहन क गत क उनहन ससत नह पडन दय,2
चारों दिशाओं को थर्रा देने का उनमें दंभ है।,neutral,चर दशओ क थरर दन क उनम दभ ह,2
शाहिद और जेनेलिया के बीच गजब की केमिस्ट्री है।,neutral,शहद और जनलय क बच गजब क कमसटर ह,2
मूल तेलुगू में 'किक' देख चुके दर्शक बता सकेगे कि हिंदी की 'किक' कितनी भिन्न है।,neutral,मल तलग म कक दख चक दरशक बत सकग क हद क कक कतन भनन ह,2
"एक ओर तमाशा हुआ, जो अक्सर देश के अलग-अलग शहरों में मौके-बेमौके होता रहता है",neutral,एक ओर तमश हआ ज अकसर दश क अलगअलग शहर म मकबमक हत रहत ह,2
"इनमें क्रिस इवंस, माइकल मोनागन, ओब्रे प्लाजा, एंथोनी मैकी जैसे नाम शामिल हैं।",neutral,इनम करस इवस मइकल मनगन ओबर पलज एथन मक जस नम शमल ह,2
ऋषि कपूर ने कमाल का काम किया है।,neutral,ऋष कपर न कमल क कम कय ह,2
इस झूठ की बुनियाद पर रचा गया ड्रामा सतही और  कमजोर है।,neutral,इस झठ क बनयद पर रच गय डरम सतह और  कमजर ह,2
उसे देखते हुए हमें मंजुनाथ के साहस का एहसास होता है।,neutral,उस दखत हए हम मजनथ क सहस क एहसस हत ह,2
शांतचित्त दिखने वाला किरदार तक अंत मे खूंखार नजर आता है।,neutral,शतचतत दखन वल करदर तक अत म खखर नजर आत ह,2
वे दी गई भूमिका में प्रभावित करते हैं।,neutral,व द गई भमक म परभवत करत ह,2
उन्होंने नॉर्थ और साउथ बैंगिस्तान के धर्मावलंबियों को बांट कर एक ही तीर से निशाना साधा है।,neutral,उनहन नरथ और सउथ बगसतन क धरमवलबय क बट कर एक ह तर स नशन सध ह,2
उदय की लाश तक नहीं मिल पाती।,neutral,उदय क लश तक नह मल पत,2
संवादों और हाव-भाव में अपने सटीक एक्सप्रेशन से वे प्रभावित करते हैं।,neutral,सवद और हवभव म अपन सटक एकसपरशन स व परभवत करत ह,2
‘बॉम्बे  वेल्वेट’ के सरप्राइज हैं करण जौहर,neutral,बमब  वलवट क सरपरइज ह करण जहर,2
हर अभिनेता परफॉर्म करता दिखता है।,neutral,हर अभनत परफरम करत दखत ह,2
राजकुमार गुप्ता की तारीफ करनी होगी कि उन्होंने कहानी के सस्पेंस को उसके खुलने तक बनाए रखा है।,neutral,रजकमर गपत क तरफ करन हग क उनहन कहन क ससपस क उसक खलन तक बनए रख ह,2
